MutationType	InD1	InD2a	InD2b	InD3a	InD3b	InD4a	InD4b	InD4c	InD4d	InD6	InD7	InD8	InD9	InD9a	InD9b	InD9c	InD11	InD12	InD13	InD14	InD15	InD16a	InD16b	InD17	InD18	InD19	InD20	InD21	InD23	InD24	InD26	InD29	InD30	InD31	InD32	InD33
G[Del(T):R(8,9)]G	0.000226337	0.02012519	0.01336369	5.88849e-05	0.002990314	0.003443273	0.000820456	0.000797678	0.001073194	0.00018875	0.026365496	0.000127594	0.000173375	3.67075e-05	0.001002254	6.78437e-05	0.002712199	0.003854617	0.000536718	0.000109604	0.000932738	0.012474661	0.007291698	0.0	0.000217913	0.006562155	0.000753556	0.010635437	0.000489355	0.001794874	0.002819679	0.000277032	0.000468823	0.001042725	0.0	0.004221004
Del(2,4):R1	0.006756829	0.005378889	0.006429377	0.000311179	0.00712635	0.040913628	0.099243223	0.143158024	0.003609032	0.006028765	0.004365256	0.011517677	0.018211585	0.01957281	0.029224161	0.025156444	0.002626008	0.010762831	0.014312412	0.000287092	0.00094855	0.002949754	0.000812491	0.063425469	0.008748605	0.002742114	0.001232219	0.00437256	0.011934841	0.000112396	0.005908505	0.034786067	0.000468823	0.039442695	0.025541796	0.000576642
Del(5,):R1	0.001570351	0.000636459	0.003601857	0.004098407	0.001706981	0.009985551	0.040074895	0.012531366	0.005929263	0.024196508	0.001356183	0.281672749	0.00774254	0.005757864	0.023790378	0.001779644	0.024107937	0.000864153	0.035696869	0.000164977	0.000317902	0.000208335	3.31e-222	0.050098717	0.004451321	3.1600000000000003e-58	0.000174766	0.000157321	0.010293974	0.00173756	0.004377295	0.072371485	0.003750586	0.0068074	0.020123839	0.002485496
Del(2,8):U(1,2):R(2,4)	0.001725129	0.011594009	0.040068813	0.02656812	0.013812809	0.147334677	0.059717612	0.320509934	0.066986848	3.1e-05	0.005298244	0.005493345	0.001373377	0.050791154	0.018502399	8.10757e-05	0.01231204	0.012039212	0.010467419	0.000163856	0.000469937	0.001595085	1.87e-31	0.017522211	0.014579317	0.00125974	0.000290328	0.001618738	0.017041972	0.007071485	0.016120858	0.02084401	0.003281763	0.025417032	0.017027864	0.001370236
Del(2,):U(1,2):R(5,9)	0.00015494	0.0131198	0.009455994	0.015168218	0.002437459	0.032197382	0.014191608	0.052797145	0.023479864	0.005005302	0.033333159	3.71e-05	0.00035438	0.011166696	0.005002096	0.039057272	0.000837431	0.00409515	0.006503673	0.000323588	0.000631911	0.020083004	0.002978269	0.002467917	0.007238085	0.00291592	0.000604277	0.004330953	0.008542751	0.003772504	0.002432993	0.005061058	0.00140647	0.00494502	0.003095975	0.001761998
Del(3,):U(3,):R2	0.010692896	0.006176768	0.01246839	0.000598594	0.002178551	0.141068445	0.027868371	0.039115652	0.25729246	0.004524972	2.8e-09	0.005165765	0.002340132	0.012326684	0.015295639	0.067703388	0.000525967	0.00225493	0.004793988	2.37e-90	0.0002663	0.000283489	0.001025144	0.01159921	0.003506889	0.0	2.97e-101	8.8e-252	0.011641826	0.004658055	0.003849407	0.009659265	0.00281294	1.6e-12	0.018575851	0.004828536
Del(3,):U(3,):R(3,9)	0.000575827	0.004838818	0.008834488	2.00758e-06	0.000599932	0.047600842	0.005032648	0.009867158	0.086374014	0.000262459	0.00164308	0.000900842	0.000698874	0.002911225	0.001681505	0.029102726	4.15e-05	0.001162551	0.001155364	0.000119445	0.000435215	0.000549012	0.0005681	0.000987167	1.24327e-06	0.000663133	0.000142393	0.000103746	0.004401691	0.000348099	0.002398861	0.001860889	0.00140647	0.001658643	0.004643963	0.000295114
Del(2,5):M1	0.007926951	0.000511976	0.010049837	0.002613769	0.002579972	0.061328529	0.094869167	0.253344611	0.001838261	0.01012164	0.004413656	0.005449528	0.014134183	0.022514674	0.022194543	0.035706954	0.000689243	0.006871215	0.008533162	0.000210383	0.000430198	0.00117819	0.000529031	0.051579467	0.00472511	0.000908375	0.000788651	0.001802641	0.008871323	0.002702903	0.003930067	0.025217979	0.003281763	0.016049096	0.015479876	5.82e-56
Del(3,5):M2	0.006165072	0.000699435	0.008459086	0.001454928	0.000953262	0.076028191	0.04550709	0.0353674	0.154767506	0.019495904	0.001592916	5.95e-05	0.004906956	0.008933604	0.014226534	0.047515367	0.000176113	0.003166786	0.004495209	0.000142943	0.000230794	0.000420361	0.000636987	0.021964462	0.003820426	0.000799171	0.000215146	8.97186e-05	0.006356919	0.005099456	0.005972746	0.011674465	0.002344116	0.01259199	0.01006192	0.002004762
Del(4,5):M(3,4)	3.47e-05	0.001053899	0.005697245	0.000254031	0.000324151	0.041254829	0.020538623	0.031018067	0.094688943	0.013216886	2.79e-20	2.64e-09	0.003370813	0.00017007	0.010477499	0.051277121	0.008690151	0.000537348	0.000657593	1.0599999999999999e-53	1.15e-56	2.6999999999999997e-141	0.00066699	0.006169793	0.003153879	0.000315094	5.909999999999999e-48	1.18e-60	0.002343608	0.003351838	0.001739629	0.007209041	0.000937647	0.006391561	0.008513932	0.002683131
Del(6,):M1	0.001249629	0.001723758	0.008408603	0.00239878	0.001697281	0.003385906	0.043169776	0.000949419	0.002955149	0.052225654	7.530000000000001e-88	0.315667999	0.003755818	0.002923332	0.01562921	0.00129341	0.002664358	0.004134645	0.025117228	0.000119349	0.000269664	7.97588e-06	1.3e-239	0.0505923	0.001407408	5.42e-05	0.000267304	6.50424e-05	0.012907772	0.001394821	0.005577162	0.055307967	0.003281763	0.023995088	0.00619195	0.000853451
Del(6,):M2	9.43e-08	2.84e-05	0.004151651	0.00176929	0.005394999	0.003403938	0.032148797	3.24e-05	8.93e-06	0.221372503	0.000278469	0.130302429	4.42e-07	0.002873869	0.005783675	0.000398689	7.69e-07	0.004795846	0.015571704	0.000159262	0.000314012	2.79e-47	0.0	0.044916091	0.000206231	0.000107371	0.000300938	2.6800000000000004e-66	0.001607487	0.0016781	0.003507375	0.027296689	0.002344116	0.038971474	0.026315789	0.0
Del(6,):M3	1.06e-05	0.000135906	0.001361287	0.000826571	0.002374024	0.002901481	0.00861496	1.64e-05	0.000102179	0.182849066	0.000177138	0.030460323	0.00062995	0.001014054	0.002729708	0.003073865	8.61e-05	0.002802195	0.008218222	7.3741e-05	0.000102213	1.47898e-06	0.0	0.032329714	0.000811581	0.000209271	0.000283654	1.32104e-05	0.001411984	0.000122379	0.000666624	0.012363007	0.00140647	0.019372682	0.02244582	0.000878355
Del(6,):M(4,)	0.000931593	0.001820841	0.002577065	0.000246203	0.003130539	0.006045252	0.000405277	0.001900312	0.002679778	0.202610667	4.7599999999999996e-150	0.000516265	0.002466484	0.001899698	0.002320029	0.004211047	0.016713703	0.001750149	0.017791046	6.71743e-05	0.000110734	0.0	3.206e-321	0.029615005	0.000649333	7.949999999999999e-228	1.418984e-317	6.59e-151	0.009958441	0.000957503	0.003916667	0.008547518	0.000468823	0.020232096	0.02244582	0.000805383
Complex	0.000531354	0.00010064	0.002613181	0.001368593	0.002059939	0.001951419	2.58e-24	0.001876611	0.00172986	0.0837867	0.000940337	3.44e-06	1.34e-05	0.006224381	0.003190607	2.57366e-05	0.000287455	0.006475	0.006958773	0.000394449	0.001347277	0.000288509	0.000213868	0.010858835	0.000315723	0.001714967	0.001696841	0.000523654	0.000824234	0.00303187	0.000660337	0.009228288	0.000937647	2.4e-33	0.010835913	0.005042687
